"filename", "language", "Dart", "comment", "blank", "total"
"d:\Flutter\old_version\lib\view\reports\daily_reports\withdraw\withdraw_table.dart", "Dart", 67, 5, 3, 75
"d:\Flutter\old_version\lib\view\reports\financial_reports\financial_reports_screen.dart", "Dart", 8, 0, 2, 10
"d:\Flutter\old_version\lib\view\reports\inventory_reports\inventory_reports_screen.dart", "Dart", 8, 0, 2, 10
"d:\Flutter\old_version\lib\view\reports\reports_screen.dart", "Dart", 149, 0, 4, 153
"d:\Flutter\old_version\lib\view\settings\invoices\shared\design_barcode.dart", "Dart", -3, 0, 0, -3
"d:\Flutter\old_version\lib\view\settings\invoices\shared\printing_barcode.dart", "Dart", -3, 0, 0, -3
"d:\Flutter\old_version\lib\view\settings\invoices\windows\invoices_screen_windows.dart", "Dart", -1, 0, 0, -1
"d:\Flutter\old_version\lib\view\settings\windows\right_side_widget.dart", "Dart", -3, 0, 0, -3
"d:\Flutter\old_version\lib\view\transactions\components\action_row_buttton_widget.dart", "Dart", 42, 0, 2, 44
"d:\Flutter\old_version\lib\view\transactions\payment\widgets\transaction_drop_down_payment_accounts.dart", "Dart", 152, 0, 5, 157
"d:\Flutter\old_version\lib\view\transactions\payment\widgets\transaction_payment_dialog_form_widget.dart", "Dart", 86, 0, 3, 89
"d:\Flutter\old_version\lib\view\transactions\payment\widgets\transaction_payment_table_widget.dart", "Dart", 118, 0, 6, 124
"d:\Flutter\old_version\lib\view\transactions\payment\windows\transaction_payment_windows_screen.dart", "Dart", 154, 3, 6, 163
"d:\Flutter\old_version\lib\view\transactions\receipt\mobile\transaction_receipt_mobile_screen.dart", "Dart", 8, 0, 2, 10
"d:\Flutter\old_version\lib\view\transactions\receipt\widgets\transaction_drop_down_receipt_accounts.dart", "Dart", 152, 0, 5, 157
"d:\Flutter\old_version\lib\view\transactions\receipt\widgets\transaction_receipt_dialog_form.dart", "Dart", 86, 0, 3, 89
"d:\Flutter\old_version\lib\view\transactions\receipt\widgets\transaction_receipt_table_widget.dart", "Dart", 149, 27, 9, 185
"d:\Flutter\old_version\lib\view\transactions\receipt\windows\transaction_receipt_windows_screen.dart", "Dart", 154, 3, 7, 164
"d:\Flutter\old_version\lib\view\transactions\transaction_receipt_screen.dart", "Dart", 16, 0, 3, 19
"d:\Flutter\old_version\lib\view\transactions\transactions_payment_screen.dart", "Dart", 15, 0, 3, 18
"d:\Flutter\old_version\lib\view\transactions\transactions_screen.dart", "Dart", 135, 0, 4, 139
"d:\Flutter\old_version\lib\view\widgets\tables\custom_table_cell.dart", "Dart", 2, 0, 0, 2
"d:\Flutter\old_version\lib\view\widgets\tables\custom_table_cell_change_number.dart", "Dart", -1, 0, 0, -1
"d:\Flutter\old_version\lib\view\widgets\tables\custom_table_widget.dart", "Dart", 0, 0, 1, 1
"d:\Flutter\old_version\lib\view\widgets\tables\table_cell.dart", "Dart", 35, 1, 6, 42
"d:\Flutter\old_version\lib\view\widgets\tables\table_cell_change_number.dart", "Dart", 49, 0, 2, 51
"d:\Flutter\old_version\lib\view\widgets\tables\table_widget.dart", "Dart", 187, 1, 7, 195
"Total", "-", 7938, 1392, 603, 9933
